"Region_code_9_digit","Region_code","Region_name","LAD_code_9_digit","LAD_code","LAD_name","A1A4den_13","KS4_LEVEL2_13","KS4_LEVEL2_EM_13","KS4_LEVEL1_13","KS4_LEVEL1_EM_13","KS4_L2BASICS_13","KS4_EBACC_E_13","KS4_EBACC_13"
"E12000005","F","West Midlands","E07000194","41UD","Lichfield",1175,1027,754,1140,"1131",764,440,302
"E12000005","F","West Midlands","E07000195","41UE","Newcastle-under-Lyme",1354,1113,836,1301,"1281",852,511,271
"E12000005","F","West Midlands","E07000196","41UF","South Staffordshire",1196,998,726,1141,"1116",734,349,243
"E12000005","F","West Midlands","E07000197","41UG","Stafford",1312,1055,860,1263,"1252",875,530,309
"E12000005","F","West Midlands","E07000198","41UH","Staffordshire Moorlands",1030,877,626,995,"990",630,550,308
"E12000005","F","West Midlands","E07000199","41UK","Tamworth",989,866,523,952,"931",527,243,142
"E12000005","F","West Midlands","E07000218","44UB","North Warwickshire",703,570,426,684,"674",427,192,110
"E12000005","F","West Midlands","E07000219","44UC","Nuneaton and Bedworth",1529,1372,867,1478,"1458",871,297,180
"E12000005","F","West Midlands","E07000220","44UD","Rugby",1098,926,725,1048,"1030",729,333,236
"E12000005","F","West Midlands","E07000221","44UE","Stratford-on-Avon",1254,1079,893,1218,"1202",896,460,351
"E12000005","F","West Midlands","E07000222","44UF","Warwick",1181,1061,837,1150,"1144",840,435,348
"E12000005","F","West Midlands","E08000025","00CN","Birmingham",12989,11364,7681,12545,"12213",7749,4198,2640
"E12000005","F","West Midlands","E08000026","00CQ","Coventry",3607,3145,2039,3475,"3404",2052,1170,654
"E12000005","F","West Midlands","E08000027","00CR","Dudley ",3691,3030,2256,3558,"3476",2278,1009,633
"E12000005","F","West Midlands","E08000028","00CS","Sandwell ",3932,3426,2190,3782,"3687",2202,816,482
"E12000005","F","West Midlands","E08000029","00CT","Solihull",2491,2257,1726,2432,"2384",1739,1012,701
"E12000005","F","West Midlands","E08000030","00CU","Walsall",3282,2832,1893,3097,"3033",1905,824,501
"E12000005","F","West Midlands","E08000031","00CW","Wolverhampton",2970,2597,1774,2836,"2786",1781,747,421
"E12000005","F","West Midlands","E07000234","47UB","Bromsgrove",1031,927,735,1003,"995",746,518,356
"E12000005","F","West Midlands","E07000235","47UC","Malvern Hills",751,561,454,720,"708",456,264,174
"E12000005","F","West Midlands","E07000236","47UD","Redditch",1019,919,694,986,"980",698,241,176
"E12000005","F","West Midlands","E07000237","47UE","Worcester",1028,890,616,999,"986",622,243,161
"E12000005","F","West Midlands","E07000238","47UF","Wychavon",1195,931,723,1149,"1136",729,498,318
"E12000005","F","West Midlands","E07000239","47UG","Wyre Forest",1030,863,609,989,"972",618,277,186
"E12000006","G","East","E06000055","00KB","Bedford UA",1771,1405,1035,1695,"1673",1057,471,301
"E12000006","G","East","E06000056","00KC","Central Bedfordshire UA",2922,2424,1731,2808,"2772",1746,945,596
"E12000006","G","East","E06000032","00KA","Luton UA",2507,2132,1477,2426,"2381",1500,931,499
"E12000006","G","East","E06000031","00JA","Peterborough UA",2162,1853,1202,2041,"2005",1221,679,384
"E12000006","G","East","E06000033","00KF","Southend-on-Sea UA",2051,1645,1174,1906,"1875",1184,544,425
"E12000006","G","East","E06000034","00KG","Thurrock UA",2043,1769,1231,1987,"1945",1243,645,400
"E12000006","G","East","E07000008","12UB","Cambridge",756,596,478,713,"708",496,416,287
"E12000006","G","East","E07000009","12UC","East Cambridgeshire",831,655,507,790,"784",516,435,247
"E12000006","G","East","E07000010","12UD","Fenland",1052,776,560,986,"972",578,269,125
"E12000006","G","East","E07000011","12UE","Huntingdonshire",1935,1453,1108,1829,"1797",1142,824,466
"E12000006","G","East","E07000012","12UG","South Cambridgeshire",1586,1401,1121,1542,"1528",1133,913,640
"E12000006","G","East","E07000066","22UB","Basildon",2128,1719,1242,2010,"1960",1261,781,462
"E12000006","G","East","E07000067","22UC","Braintree",1698,1274,947,1629,"1609",965,465,288
"E12000006","G","East","E07000068","22UD","Brentwood",789,636,553,756,"750",568,247,178
"E12000006","G","East","E07000069","22UE","Castle Point",1097,969,666,1041,"1024",671,382,231
"E12000006","G","East","E07000070","22UF","Chelmsford",1903,1488,1153,1811,"1796",1171,677,488
"E12000006","G","East","E07000071","22UG","Colchester",1791,1413,1156,1738,"1721",1178,616,408
"E12000006","G","East","E07000072","22UH","Epping Forest",1253,1063,851,1207,"1187",870,457,310
"E12000006","G","East","E07000073","22UJ","Harlow",963,759,507,904,"870",510,235,134
"E12000006","G","East","E07000074","22UK","Maldon",762,587,434,727,"716",440,249,136
"E12000006","G","East","E07000075","22UL","Rochford",1088,872,677,1038,"1027",686,362,228
"E12000006","G","East","E07000076","22UN","Tendring",1520,1298,915,1437,"1416",923,215,148
"E12000006","G","East","E07000077","22UQ","Uttlesford",889,699,587,853,"842",596,392,261
"E12000006","G","East","E07000095","26UB","Broxbourne",1152,1018,685,1121,"1099",691,410,255
"E12000006","G","East","E07000096","26UC","Dacorum",1628,1289,987,1566,"1551",1000,857,511
"E12000006","G","East","E07000097","26UD","East Hertfordshire",1554,1333,1115,1522,"1513",1129,896,633
"E12000006","G","East","E07000098","26UE","Hertsmere",1068,876,684,1025,"1008",690,462,324
"E12000006","G","East","E07000099","26UF","North Hertfordshire",1397,1125,929,1346,"1341",943,739,443
"E12000006","G","East","E07000240","26UG","St Albans",1503,1298,1171,1475,"1462",1188,1062,748
"E12000006","G","East","E07000101","26UH","Stevenage",997,780,488,944,"925",496,298,147
"E12000006","G","East","E07000102","26UJ","Three Rivers",956,808,659,928,"912",668,395,260
"E12000006","G","East","E07000103","26UK","Watford",988,856,673,956,"937",674,389,254
"E12000006","G","East","E07000241","26UL","Welwyn Hatfield",1057,898,675,1023,"1010",680,418,287
"E12000006","G","East","E07000143","33UB","Breckland",1409,982,718,1349,"1326",729,401,217
"E12000006","G","East","E07000144","33UC","Broadland",1363,1064,848,1328,"1297",860,436,282
"E12000006","G","East","E07000145","33UD","Great Yarmouth",1180,824,558,1110,"1075",565,382,180
"E12000006","G","East","E07000146","33UE","Kingís Lynn and West Norfolk",1515,1036,808,1444,"1417",836,270,167
"E12000006","G","East","E07000147","33UF","North Norfolk",951,677,538,911,"901",549,420,250
"E12000006","G","East","E07000148","33UG","Norwich",1073,705,483,1014,"964",500,230,163
"E12000006","G","East","E07000149","33UH","South Norfolk",1408,1070,884,1370,"1351",899,688,374
"E12000006","G","East","E07000200","42UB","Babergh",970,665,522,924,"913",534,323,198
"E12000006","G","East","E07000201","42UC","Forest Heath",469,357,229,445,"436",235,181,75
"E12000006","G","East","E07000202","42UD","Ipswich",1454,932,709,1379,"1348",729,498,252
"E12000006","G","East","E07000203","42UE","Mid Suffolk",1078,800,666,1046,"1031",691,395,263
"E12000006","G","East","E07000204","42UF","St Edmundsbury",1206,974,728,1167,"1159",740,485,335
"E12000006","G","East","E07000205","42UG","Suffolk Coastal",1312,1007,798,1266,"1252",803,465,323
"E12000006","G","East","E07000206","42UH","Waveney",1320,1015,623,1250,"1221",631,265,141
"E12000007","H","London","E09000007","00AG","Camden",1219,933,740,1162,"1148",761,465,308
"E12000007","H","London","E09000001","00AA","City of London",22,22,18,22,"22",18,8,6
"E12000007","H","London","E09000012","00AM","Hackney",2097,1689,1321,2007,"1967",1349,913,624
"E12000007","H","London","E09000013","00AN","Hammersmith and Fulham",974,788,576,938,"925",581,379,248
